#{"t_start": 1779328138.3977356, "env_id": "None"}
r,l,t
166.16877,100,9.783657
120.693742,100,10.015714
176.280925,100,10.267797
166.626652,100,10.506386
164.049264,100,10.740588
-8540.88238,100,10.990178
-3288.430768,100,11.184996
123.381373,100,11.395049
161.562412,100,11.598114
-2655.871633,100,11.805169
193.882215,100,12.023231
163.247639,100,12.274189
170.861466,100,12.50051
155.522295,100,12.712575
171.525542,100,12.926636
136.63358,100,13.172709
122.942858,100,13.401285
181.970701,100,13.615343
172.605411,100,13.789406
-1135.672456,100,13.976945
184.342884,100,21.480805
165.151963,100,21.678868
183.312641,100,21.867912
163.812097,100,22.051953
168.990018,100,22.255014
149.017107,100,22.454061
184.980592,100,22.657118
167.21936,100,22.851828
197.539971,100,23.044879
156.083143,100,23.236943
172.056655,100,23.437671
175.104142,100,23.651756
184.220666,100,23.848802
191.033584,100,24.063877
151.208194,100,24.287473
186.495192,100,24.510535
81.130054,100,24.699589
182.883888,100,24.891207
143.702713,100,25.086737
171.785365,100,25.271776
155.856086,100,32.087399
193.347348,100,32.270445
166.501265,100,32.457376
158.616525,100,32.640434
177.709446,100,32.828476
-2496.174298,100,33.01452
62.705224,100,33.20856
193.519002,100,33.394608
162.035676,100,33.578143
-2507.813529,100,33.765191
-353.634747,100,33.963249
189.503845,100,34.144007
192.036372,100,34.333067
193.01666,100,34.515119
177.726482,100,34.701173
185.319399,100,34.890218
171.989367,100,35.07075
179.006108,100,35.248804
199.367303,100,35.430861
174.791981,100,35.615904
166.853164,100,35.795954
174.718603,100,42.409731
191.382086,100,42.604779
-4095.133131,100,42.794538
178.043691,100,42.977055
176.071851,100,43.173033
169.07956,100,43.353087
178.504411,100,43.52914
171.226138,100,43.7232
36.308354,100,43.921252
197.055114,100,44.111305
189.875539,100,44.301346
177.831991,100,44.488531
188.587194,100,44.676581
175.474141,100,44.866631
-595.983599,100,45.051678
184.853914,100,45.237732
151.461681,100,45.422786
226.130284,100,45.610943
177.646217,100,45.79499
-80.634765,100,45.977519
-351.290367,100,52.657368
169.078725,100,52.852419
176.835238,100,53.043469
191.984612,100,53.235121
-357.858325,100,53.417752
-1131.840371,100,53.601807
174.801631,100,53.798857
181.444938,100,53.985403
194.364286,100,54.17844
176.44483,100,54.365501
168.771119,100,54.540557
117.797234,100,54.72861
-1198.574813,100,54.924667
-1028.457548,100,55.114723
190.685703,100,55.30331
-7887.945133,100,55.491858
211.77237,100,55.686911
185.472974,100,55.864952
192.173944,100,56.05877
197.93145,100,56.252882
175.148371,100,56.435938
207.962644,100,63.181531
192.205822,100,63.369587
189.707268,100,63.550651
186.417022,100,63.739716
189.466294,100,63.925769
189.226236,100,64.106825
217.570278,100,64.303862
193.401289,100,64.499929
181.33688,100,64.711974
169.94269,100,64.905033
162.788695,100,65.095563
189.448636,100,65.288616
181.156096,100,65.478663
221.017804,100,65.661726
212.442493,100,65.845768
159.657964,100,66.034814
-9087.392876,100,66.224859
105.372104,100,66.415917
155.887491,100,66.597459
180.21942,100,66.777499
163.910042,100,73.466876
194.197017,100,73.656927
177.422195,100,73.847975
189.229896,100,74.039635
15.192148,100,74.243704
219.683242,100,74.463749
175.333012,100,74.669829
158.532469,100,74.866885
176.030429,100,75.073942
179.073533,100,75.257013
155.399635,100,75.444051
180.540806,100,75.640112
172.346265,100,75.835167
179.19936,100,76.034217
181.194194,100,76.217271
180.04611,100,76.403329
186.407574,100,76.582855
155.976884,100,76.762642
175.383393,100,76.954696
185.334762,100,77.155741
199.058537,100,77.332371
181.714019,100,84.039053
186.759192,100,84.307633
159.727083,100,84.501173
165.476524,100,84.690228
178.144326,100,84.886019
192.882532,100,85.079467
209.585761,100,85.27017
171.475534,100,85.455058
230.35345,100,85.642946
-4674.113772,100,85.839151
-5930.916918,100,86.023071
198.428022,100,86.223755
201.659062,100,86.415808
171.821126,100,86.607857
207.648194,100,86.791907
226.637484,100,86.980963
204.096829,100,87.166823
-35.753428,100,87.351882
177.837885,100,87.541416
194.065447,100,87.727988
-4403.658446,100,94.331247
216.090284,100,94.530301
201.699903,100,94.718339
207.06014,100,94.899398
-340.675248,100,95.08945
194.798502,100,95.265495
220.81491,100,95.457091
186.410592,100,95.652684
214.191826,100,95.837224
191.224003,100,96.027268
181.26213,100,96.215321
-597.755961,100,96.40437
22.602102,100,96.585376
156.305459,100,96.779447
176.095853,100,96.970495
204.941852,100,97.151536
190.589728,100,97.340076
172.738008,100,97.539134
178.377303,100,97.72117
-6879.044351,100,97.903219
187.897163,100,98.086442
200.772686,100,104.822146
188.167343,100,105.0022
191.741546,100,105.183274
216.137607,100,105.367333
215.566659,100,105.558384
212.697705,100,105.749438
216.152149,100,105.942999
204.999807,100,106.130648
-231.334006,100,106.325234
181.887104,100,106.504298
124.507477,100,106.692358
194.520453,100,106.866409
193.705166,100,107.055453
182.451162,100,107.238995
218.832424,100,107.425036
215.426224,100,107.61009
203.790796,100,107.79614
211.79533,100,107.976202
184.724814,100,108.163271
197.414295,100,108.352329
179.31171,100,115.043961
183.21965,100,115.21801
230.848547,100,115.392064
209.022881,100,115.57466
-5298.95798,100,115.753702
-23.581825,100,115.938245
199.383092,100,116.116281
206.203157,100,116.303045
203.573713,100,116.487097
201.518993,100,116.663152
183.225569,100,116.853198
58.371684,100,117.048733
219.146819,100,117.226777
188.050473,100,117.406833
195.836873,100,117.59788
199.122199,100,117.787931
206.853065,100,117.973978
200.778005,100,118.159036
181.81236,100,118.339573
219.345571,100,118.529585
213.746746,100,118.717646
217.217172,100,125.377876
203.777939,100,125.564917
187.25946,100,125.75897
232.661592,100,125.951508
205.301706,100,126.134545
224.62079,100,126.315598
211.979108,100,126.499651
214.202048,100,126.6907
236.811113,100,126.870757
200.521868,100,127.054812
-88.422932,100,127.235343
181.95125,100,127.425407
201.597341,100,127.601449
232.244059,100,127.78251
227.681115,100,127.967575
234.00466,100,128.155628
221.216383,100,128.332155
-5002.491697,100,128.521121
211.357392,100,128.712167
195.7742,100,128.894213
189.651725,100,135.593684
218.704748,100,135.775732
175.105267,100,135.957786
-685.60507,100,136.146322
193.627241,100,136.331365
199.415526,100,136.525412
200.454592,100,136.707469
181.170828,100,136.900163
215.049404,100,137.0932
-1679.422016,100,137.281243
-839.906055,100,137.4623
-83.095179,100,137.649839
228.846862,100,137.83489
204.12021,100,138.017941
232.123884,100,138.202591
211.993426,100,138.391647
220.985454,100,138.583694
213.058262,100,138.76949
228.252711,100,138.958158
215.816485,100,139.148569
154.827238,100,139.34061
216.920434,100,145.996351
186.727521,100,146.174403
189.915168,100,146.35593
221.622698,100,146.53597
211.518173,100,146.717021
199.511054,100,146.905069
223.051185,100,147.088119
201.851453,100,147.279176
125.090304,100,147.463232
229.950259,100,147.649758
210.8512,100,147.836801
167.676239,100,148.018857
235.785663,100,148.19645
206.906473,100,148.390506
198.49681,100,148.579286
224.831713,100,148.758821
218.444683,100,148.939873
211.926798,100,149.127506
239.446594,100,149.30756
222.554288,100,149.492621
211.950968,100,156.129864
-3619.785776,100,156.323942
-4263.595511,100,156.515995
214.10275,100,156.714042
185.884108,100,156.900662
200.741695,100,157.09157
164.464419,100,157.279627
184.572864,100,157.475677
217.654316,100,157.660211
212.391958,100,157.909797
222.901027,100,158.096848
165.827791,100,158.280892
183.601929,100,158.474938
183.627416,100,158.658471
205.443099,100,158.844514
175.5132,100,159.021442
222.794639,100,159.202491
225.501552,100,159.389539
206.855508,100,159.56859
216.925304,100,159.763126
201.953646,100,159.94173
204.947911,100,166.624423
220.702412,100,166.813469
194.310491,100,167.000515
203.464941,100,167.189579
205.391372,100,167.373619
223.275689,100,167.556156
207.972407,100,167.745192
213.923911,100,167.918234
184.25856,100,168.103291
201.822587,100,168.29133
218.840022,100,168.476376
169.142325,100,168.657917
207.582541,100,168.847955
-158.7737,100,169.027007
205.680264,100,169.208066
202.984015,100,169.385128
229.675527,100,169.566186
219.906319,100,169.749275
200.228229,100,169.940332
207.326566,100,170.11939
-18.294116,100,176.849511
229.602852,100,177.041137
205.216037,100,177.225065
196.435574,100,177.408928
-2.432965,100,177.589982
257.271092,100,177.774039
218.973376,100,177.966571
175.524975,100,178.149608
227.639468,100,178.343666
194.037949,100,178.540735
263.101346,100,178.723787
265.310457,100,178.917851
241.31847,100,179.096918
192.702609,100,179.299515
252.487908,100,179.535581
250.127028,100,179.720637
39.385441,100,179.920694
237.210972,100,180.106743
182.744547,100,180.284804
220.200322,100,180.46634
213.460646,100,180.646376
217.436257,100,187.239244
261.34122,100,187.435302
243.654365,100,187.629355
245.127685,100,187.808406
212.92921,100,187.993462
171.375535,100,188.175202
212.450519,100,188.359739
117.695075,100,188.551792
-4288.683359,100,188.731716
221.575689,100,188.910769
193.703546,100,189.099833
242.918403,100,189.289892
214.527164,100,189.480943
215.757881,100,189.697009
195.31055,100,189.889059
210.894214,100,190.068601
145.249837,100,190.25339
115.324191,100,190.433449
241.483794,100,190.615507
212.981843,100,190.795552
245.719643,100,197.635868
230.747959,100,197.819926
222.173746,100,198.010551
256.897088,100,198.194612
191.402103,100,198.397222
224.910462,100,198.625283
227.175745,100,198.861923
181.361184,100,199.085902
197.447088,100,199.301567
217.770413,100,199.510636
237.711622,100,199.738698
256.405672,100,199.951755
-7851.079298,100,200.138817
-579.04719,100,200.338409
222.851338,100,200.522467
171.697912,100,200.709268
-4635.061437,100,200.896311
233.541366,100,201.087366
-704.397615,100,201.283059
-8698.241755,100,201.482107
214.887953,100,201.666642
-5.802002,100,208.426586
231.730883,100,208.61563
128.072202,100,208.802695
-4957.597002,100,208.986741
153.589181,100,209.164274
253.702508,100,209.343936
89.663304,100,209.518977
238.575633,100,209.702024
244.6059,100,209.880656
229.153059,100,210.074195
209.746952,100,210.258231
223.588062,100,210.440284
204.725391,100,210.622095
192.429648,100,210.806144
224.181714,100,210.984877
-4773.850535,100,211.176408
221.0072,100,211.353454
247.053832,100,211.538513
224.22976,100,211.724561
171.798323,100,211.913613
212.841605,100,218.491808
189.45438,100,218.682852
77.332931,100,218.868401
223.217935,100,219.057444
200.032029,100,219.246501
212.100152,100,219.442557
208.786986,100,219.634608
-1389.328944,100,219.819662
-3380.665987,100,220.005259
194.384285,100,220.19431
221.948137,100,220.381848
194.818841,100,220.57192
207.144634,100,220.750962
-8653.231168,100,220.942019
231.969435,100,221.121072
240.92072,100,221.31012
176.075702,100,221.492177
199.241153,100,221.669322
222.931631,100,221.84835
216.835782,100,222.02741
40.557728,100,222.214452
248.955886,100,228.852176
183.561129,100,229.044222
194.882649,100,229.229275
-105.527551,100,229.42034
242.163677,100,229.595406
159.769453,100,229.788407
181.407464,100,229.972945
219.110083,100,230.162627
232.176099,100,230.346681
117.070461,100,230.525734
175.575616,100,230.709778
209.670079,100,230.909857
206.110812,100,231.115547
-3603.749133,100,231.307595
-350.722534,100,231.491668
214.901423,100,231.688724
188.870077,100,231.879257
137.204217,100,232.062859
216.918122,100,232.251916
192.251272,100,232.436961
235.519321,100,239.070255
189.393796,100,239.254302
220.748063,100,239.446349
218.994831,100,239.619405
200.041128,100,239.803453
170.516744,100,239.992502
180.948536,100,240.171031
183.815902,100,240.360079
204.080861,100,240.554135
94.401619,100,240.739189
221.108093,100,240.92995
-4049.339883,100,241.125
214.052668,100,241.306049
268.147903,100,241.497099
208.036288,100,241.683632
208.148178,100,241.876689
200.905263,100,242.060684
220.054256,100,242.259753
77.453191,100,242.442788
215.100872,100,242.627843
178.163496,100,242.811893
186.91181,100,249.428127
211.799649,100,249.611185
218.9797,100,249.797232
204.972162,100,249.982556
212.26937,100,250.180612
201.242615,100,250.364261
205.774471,100,250.547321
195.77092,100,250.729369
217.263291,100,250.914015
210.752043,100,251.095062
181.171869,100,251.288591
217.314119,100,251.479648
124.667741,100,251.664695
197.881169,100,251.853742
219.814571,100,252.044796
74.403324,100,252.24084
181.811263,100,252.417897
217.893122,100,252.60094
199.641885,100,252.796994
238.793871,100,252.983526
235.52749,100,259.645167
227.720392,100,259.830225
220.895806,100,260.013131
-104.479835,100,260.204169
191.091625,100,260.391692
244.323357,100,260.571271
190.043233,100,260.75432
-21.787926,100,260.941369
230.271451,100,261.130416
203.25111,100,261.315468
182.334252,100,261.499519
216.746041,100,261.701571
218.153032,100,261.892103
218.995026,100,262.084164
158.379781,100,262.276194
227.157593,100,262.457254
226.619694,100,262.646306
231.073326,100,262.830354
214.194879,100,263.018576
226.987326,100,263.204626
203.626285,100,263.396677
218.40952,100,270.049325
193.997451,100,270.231379
234.460523,100,270.419439
209.182636,100,270.608495
177.665317,100,270.790028
-5362.991499,100,270.975957
177.887514,100,271.166006
263.122849,100,271.347934
229.376546,100,271.542068
-743.279272,100,271.729126
172.925366,100,271.911702
232.118296,100,272.10075
204.738982,100,272.285286
241.273754,100,272.468366
247.804101,100,272.654413
173.760925,100,272.83347
238.576999,100,273.017521
232.8933,100,273.204579
228.892037,100,273.381102
249.342594,100,273.561719
204.229008,100,280.800317
211.038295,100,280.995854
147.245623,100,281.198331
204.40033,100,281.396384
230.014562,100,281.589927
229.801367,100,281.797512
212.404962,100,282.008594
248.894167,100,282.213647
219.366209,100,282.409691
220.474421,100,282.60374
208.215136,100,282.860786
84.643005,100,283.076852
257.864467,100,283.367435
190.307046,100,283.582498
172.527589,100,283.801082
181.884038,100,284.019133
239.728012,100,284.223773
-4820.054106,100,284.412829
201.012771,100,284.602885
259.324088,100,284.798943
269.617869,100,292.146609
276.037896,100,292.345665
175.462192,100,292.541248
-299.6983,100,292.723239
260.461253,100,292.913301
199.877713,100,293.106364
237.612426,100,293.296901
-948.309863,100,293.484963
188.871359,100,293.68301
260.413455,100,293.869944
232.531974,100,294.061993
76.909178,100,294.251049
233.404379,100,294.456108
194.535861,100,294.649159
225.812193,100,294.841228
-1725.949065,100,295.034291
-289.225168,100,295.231345
225.794313,100,295.419406
220.552385,100,295.609455
267.197848,100,295.798983
222.2894,100,295.98773
217.022469,100,303.230061
241.903111,100,303.428111
230.490098,100,303.628167
-201.860619,100,303.824233
217.596172,100,304.024396
217.528574,100,304.232103
248.842701,100,304.429155
231.600832,100,304.629209
224.417643,100,304.820864
231.161436,100,305.014468
244.396035,100,305.219525
242.314117,100,305.413582
226.906435,100,305.615631
245.524281,100,305.813686
240.476001,100,306.009736
259.588712,100,306.206798
221.917545,100,306.395339
236.2395,100,306.586393
242.352004,100,306.785312
184.083699,100,306.972369
228.409275,100,314.02482
230.127155,100,314.225893
270.394108,100,314.419958
258.851548,100,314.622013
264.037687,100,314.823014
233.697238,100,315.0828
268.073244,100,315.356395
-347.867598,100,315.586466
192.617265,100,315.80154
89.946928,100,316.017106
241.28173,100,316.233166
248.351527,100,316.441219
249.671446,100,316.657274
230.887385,100,316.872338
241.036989,100,317.080017
250.118169,100,317.290076
196.88017,100,317.503158
229.330276,100,317.713738
238.861969,100,317.920784
256.862206,100,318.133849
211.448843,100,318.345902
211.275578,100,326.070274
290.909931,100,326.273981
