#{"t_start": 1778422471.0903554, "env_id": "None"}
r,l,t
243.436215,100,2.709838
94.078174,100,2.99872
218.224711,100,3.287358
233.101792,100,3.56056
268.63586,100,3.857102
296.122298,100,4.330452
275.171233,100,4.625579
253.351672,100,4.913699
281.326987,100,5.239424
219.413634,100,5.55862
100.866885,100,5.840655
271.622366,100,6.127855
271.480439,100,6.469128
271.201463,100,6.789335
224.603494,100,7.068987
263.512941,100,7.348741
253.041332,100,7.625902
313.00586,100,7.901791
286.8636,100,8.189296
-134.097175,100,8.470637
228.917411,100,19.213816
257.157238,100,19.491877
303.380799,100,19.778083
271.962835,100,20.058152
313.666121,100,20.342106
154.856199,100,20.63071
392.282828,100,20.915168
281.378694,100,21.212143
308.929332,100,21.493622
275.687901,100,21.769973
-237.527409,100,22.058444
334.801703,100,22.32879
313.250595,100,22.639463
276.815196,100,23.029935
395.544735,100,23.421879
130.336958,100,23.732399
198.687567,100,24.002527
273.369577,100,24.301935
309.698758,100,24.640577
268.036986,100,24.945623
283.995534,100,36.998512
356.197117,100,37.299122
-648.570575,100,37.646918
44.53849,100,37.942292
-940.703294,100,38.282166
328.857984,100,38.8118
-271.746549,100,39.175785
308.582048,100,39.531705
271.629379,100,39.832296
196.711471,100,40.111809
321.831963,100,40.389014
238.108471,100,40.930042
339.12754,100,41.210918
379.612309,100,41.490618
301.577474,100,41.779727
318.211415,100,42.079685
248.870946,100,42.367277
326.732991,100,42.672622
314.730218,100,42.975773
283.166189,100,43.35224
259.809049,100,43.791091
350.634621,100,56.452938
258.379226,100,56.848028
367.759477,100,57.262065
343.274511,100,57.720855
381.464705,100,58.079519
300.062005,100,58.362028
344.598481,100,58.64412
349.295153,100,58.961969
342.178579,100,59.265284
281.228617,100,59.599389
344.890683,100,59.962023
175.724412,100,60.307361
-869.754043,100,60.589971
358.543399,100,60.873243
101.574097,100,61.154902
315.025263,100,61.463214
375.632182,100,61.891796
355.908887,100,62.236702
359.452512,100,62.525854
281.830105,100,62.861853
379.26165,100,75.82392
420.895059,100,76.169471
313.864662,100,76.834547
291.966407,100,77.16007
401.818676,100,77.493827
380.369305,100,77.812422
323.554925,100,78.098498
489.230589,100,78.413104
424.428463,100,78.676409
341.15309,100,78.903052
395.377693,100,79.167105
305.838976,100,79.374716
381.077771,100,79.581159
388.318265,100,79.783759
442.811185,100,80.006761
349.11094,100,80.220329
349.401806,100,80.427846
325.959593,100,80.662131
263.618745,100,81.102508
395.427827,100,81.408657
-108.692745,100,81.725754
348.293049,100,90.39493
377.131446,100,90.579931
284.415436,100,90.76693
293.564846,100,90.95393
339.793886,100,91.183954
351.999577,100,91.382934
129.409378,100,91.564929
318.229953,100,91.760932
342.723403,100,92.105933
173.70877,100,92.30993
332.338376,100,92.514935
326.236434,100,92.724932
340.74141,100,92.912933
248.124513,100,93.114929
-186.177783,100,93.304932
363.335604,100,93.528931
428.04377,100,93.752935
186.739138,100,93.965929
61.703013,100,94.166928
387.129144,100,94.37994
-141.038361,100,101.223925
356.613644,100,101.409928
382.197785,100,101.604924
443.616883,100,101.807931
319.834736,100,102.001923
392.941722,100,102.22793
386.034882,100,102.496929
374.387979,100,102.834925
359.93768,100,103.022932
204.991412,100,103.226924
365.861556,100,103.419925
426.564709,100,103.633928
322.818136,100,103.853925
-906.98701,100,104.056932
475.678282,100,104.296929
381.255503,100,104.536925
389.019981,100,104.737925
-163.014889,100,104.953924
173.412054,100,105.296927
3.337908,100,105.582928
306.562271,100,105.948929
367.362824,100,113.712771
195.573431,100,113.937776
406.297623,100,114.16677
193.378155,100,114.397769
155.32643,100,114.597774
381.358583,100,114.84577
58.899587,100,115.10677
344.93895,100,115.370771
391.475491,100,115.61177
334.532876,100,115.846771
325.176475,100,116.097773
390.802234,100,116.34477
127.721796,100,116.552773
351.223471,100,116.765771
336.576766,100,116.98177
367.267696,100,117.203771
381.546172,100,117.42577
16.011699,100,117.646769
377.259879,100,117.882771
328.083983,100,118.190771
373.118286,100,126.384041
355.054096,100,126.674041
387.983842,100,126.939056
-852.341735,100,127.209049
334.292715,100,127.472043
368.288338,100,127.711041
333.85765,100,127.970043
354.2046,100,128.222042
303.757157,100,128.461038
334.197451,100,128.686037
325.749995,100,128.96004
-965.505098,100,129.220041
329.462767,100,129.46504
345.307346,100,129.701041
419.063675,100,129.938036
275.711149,100,130.167041
310.942056,100,130.465042
312.038757,100,130.687039
327.357248,100,130.920044
369.09604,100,131.171039
197.554189,100,131.403048
291.419166,100,139.320056
445.080846,100,139.587038
368.906782,100,139.830038
361.319403,100,140.070045
464.368408,100,140.29304
416.021054,100,140.514048
384.841384,100,140.74704
249.219741,100,140.999045
366.990991,100,141.247062
351.890349,100,141.455041
416.560637,100,141.675041
200.642103,100,141.914041
397.837205,100,142.168059
415.327321,100,142.408058
432.627274,100,142.62504
344.042531,100,142.932044
413.554788,100,143.21004
415.725508,100,143.444042
343.269467,100,143.656041
267.998909,100,143.887043
366.164949,100,151.798041
382.178579,100,152.03104
351.67203,100,152.267041
540.211424,100,152.491037
430.580475,100,152.700036
344.382935,100,152.936059
381.881232,100,153.16604
249.792084,100,153.38904
227.647534,100,153.579036
152.862203,100,153.809038
343.05863,100,154.050038
427.417374,100,154.281061
349.446365,100,154.501043
420.048041,100,154.72104
409.460192,100,154.942042
379.350099,100,155.165039
421.757175,100,155.389041
322.497404,100,155.584043
361.001712,100,155.798047
384.395659,100,156.02604
422.448602,100,156.261037
389.315629,100,164.051574
149.876431,100,164.289571
363.864662,100,164.548572
365.445697,100,164.780575
359.506855,100,165.016575
442.63709,100,165.252571
441.490589,100,165.461572
320.020887,100,165.673575
378.334167,100,165.914572
403.425722,100,166.13857
397.933137,100,166.359572
403.003953,100,166.556585
402.008496,100,166.780572
316.79766,100,167.035573
425.533812,100,167.286574
71.872512,100,167.506574
392.232963,100,167.759572
377.030171,100,168.014571
412.727112,100,168.244572
-47.447463,100,168.46057
359.89977,100,176.045571
350.485347,100,176.265572
313.681028,100,176.47258
420.489921,100,176.67357
439.381028,100,176.902573
422.895393,100,177.145572
452.442591,100,177.41258
420.954716,100,177.695576
503.873613,100,177.943572
436.70647,100,178.18957
401.356009,100,178.443573
436.731823,100,178.675575
368.677074,100,178.914783
233.921271,100,179.144569
447.906115,100,179.394586
444.064141,100,179.598577
399.058899,100,179.832578
435.516807,100,180.066574
388.32034,100,180.283572
-2132.604792,100,180.487572
381.753467,100,180.698571
434.777681,100,188.528574
424.629076,100,188.747576
461.955383,100,188.97657
357.784633,100,189.21557
445.174036,100,189.435575
400.697383,100,189.62357
327.471132,100,189.843576
505.786468,100,190.078573
425.435108,100,190.31157
364.541629,100,190.511576
431.769232,100,190.719575
424.078302,100,190.947569
48.305595,100,191.162572
401.653295,100,191.376573
449.185258,100,191.562573
488.054356,100,191.778572
445.007723,100,192.007571
485.753933,100,192.276574
177.428565,100,192.543576
418.048375,100,192.809599
397.268299,100,201.280589
113.713516,100,201.537569
285.277799,100,201.790574
434.447635,100,202.070575
475.331395,100,202.365574
-1168.49107,100,202.669569
462.780788,100,203.003575
277.263922,100,203.307571
371.168658,100,203.579574
498.138095,100,203.852575
450.633452,100,204.11957
464.550548,100,204.390594
7.55669,100,204.648573
458.165886,100,204.956572
432.720965,100,205.321593
199.431096,100,205.607583
507.03682,100,205.876591
278.438487,100,206.148571
160.390493,100,206.418571
-513.796818,100,206.674572
139.256621,100,206.909573
166.918254,100,214.742017
437.680252,100,214.972019
-170.273396,100,215.202017
423.275781,100,215.432024
483.715223,100,215.645017
44.062289,100,215.875018
393.550048,100,216.108028
429.563875,100,216.344017
413.764157,100,216.557017
441.018717,100,216.795018
438.191906,100,217.041016
420.154694,100,217.27302
261.943859,100,217.489016
560.49657,100,217.70902
457.494298,100,217.937017
432.308147,100,218.175016
333.149316,100,218.413019
404.793917,100,218.618016
360.825679,100,218.866016
486.444507,100,219.112025
455.870977,100,226.978018
442.901708,100,227.213019
499.427797,100,227.425021
410.043771,100,227.606016
416.277187,100,227.867017
491.971285,100,228.118018
410.964303,100,228.385014
323.759948,100,228.588014
417.359854,100,228.821019
439.72434,100,229.128014
524.992595,100,229.37102
319.622769,100,229.571022
363.771003,100,229.809026
429.680449,100,230.038025
487.646313,100,230.264026
451.652658,100,230.477017
322.619989,100,230.686019
466.832465,100,230.903018
410.062506,100,231.131017
467.35905,100,231.355017
408.306376,100,231.545022
480.901708,100,239.110017
505.227818,100,239.352113
-690.049121,100,239.543015
364.436914,100,239.777018
302.381081,100,240.022017
-182.039828,100,240.244017
456.236131,100,240.449017
488.993627,100,240.64802
440.006559,100,240.871033
477.884308,100,241.095017
380.103457,100,241.323016
428.06755,100,241.516018
386.241812,100,241.725018
476.247793,100,241.942016
385.327155,100,242.159021
449.802068,100,242.378018
232.069237,100,242.562015
493.575401,100,242.772016
349.675071,100,242.993022
460.358553,100,243.218015
-1481.308742,100,250.746013
367.845761,100,250.967019
302.133823,100,251.192012
272.585655,100,251.416016
489.550715,100,251.607016
412.69802,100,251.832016
439.942993,100,252.05802
483.95806,100,252.280016
437.076136,100,252.491019
511.728716,100,252.699016
338.044602,100,252.921017
-638.675911,100,253.157033
440.350737,100,253.401016
362.832798,100,253.614017
346.625695,100,253.868014
445.063776,100,254.103019
508.202799,100,254.328013
521.253838,100,254.52502
439.011269,100,254.733017
-559.339365,100,254.952017
473.632565,100,255.185014
-5.211611,100,262.949017
488.843656,100,263.188016
-824.268087,100,263.419015
531.681223,100,263.615014
474.529739,100,263.839019
550.933072,100,264.064015
444.148152,100,264.287017
142.167568,100,264.490016
411.245156,100,264.701015
552.221473,100,264.934015
375.891953,100,265.182014
-564.809844,100,265.412013
241.363586,100,265.602014
-1968.549443,100,265.828017
476.670365,100,266.04502
462.859118,100,266.266015
374.162116,100,266.465016
450.927197,100,266.68602
314.465138,100,266.928018
478.454151,100,267.15002
322.937365,100,274.741017
469.628246,100,274.961016
507.839143,100,275.204017
388.318371,100,275.412027
504.204164,100,275.604016
495.825118,100,275.827018
432.168658,100,276.096019
345.467963,100,276.363015
443.133024,100,276.555014
417.890952,100,276.779018
431.010936,100,277.008017
470.048815,100,277.232015
194.487679,100,277.446016
-310.727063,100,277.643013
512.554921,100,277.868016
468.070793,100,278.112023
516.027839,100,278.359015
444.934082,100,278.560018
-268.62537,100,278.825051
393.224742,100,279.067016
327.63459,100,279.295019
497.678815,100,287.112032
463.923787,100,287.432015
472.439656,100,287.709027
506.880868,100,287.938019
455.792617,100,288.18903
393.846094,100,288.433021
505.644481,100,288.65702
360.988021,100,288.883013
-253.141516,100,289.104014
380.838278,100,289.342016
-0.083397,100,289.545018
337.214926,100,289.759017
25.535757,100,289.980015
509.478366,100,290.204017
498.197421,100,290.413014
364.601891,100,290.651014
429.094007,100,290.898013
424.069655,100,291.123018
420.27872,100,291.346015
381.576538,100,291.589016
441.999076,100,299.356017
306.310592,100,299.602014
389.675071,100,299.844022
478.529405,100,300.084015
451.698653,100,300.306021
450.626774,100,300.516015
454.110844,100,300.732017
490.893891,100,300.952022
321.421012,100,301.176019
417.680919,100,301.406013
439.878292,100,301.61802
457.821177,100,301.846019
418.326153,100,302.067016
344.641269,100,302.288016
469.190272,100,302.490019
496.881698,100,302.691018
303.047374,100,302.920018
458.468945,100,303.146021
468.234299,100,303.388018
-2171.283678,100,303.588021
498.189604,100,303.828027
430.659943,100,311.331017
403.269634,100,311.528014
372.062643,100,311.750015
417.303239,100,311.984016
388.787572,100,312.220031
159.884043,100,312.453019
453.844258,100,312.676017
-70.492571,100,312.918016
460.946403,100,313.187024
434.287504,100,313.465017
4.172044,100,313.71402
444.638163,100,313.976015
81.469037,100,314.226016
432.999076,100,314.431018
-1468.350761,100,314.628021
241.902182,100,314.857013
398.498309,100,315.099016
258.700503,100,315.329019
392.917776,100,315.567021
482.196617,100,315.780013
520.759447,100,323.570017
381.572026,100,323.808125
208.69271,100,324.053017
224.74489,100,324.274017
73.172198,100,324.500017
458.178079,100,324.727016
469.455417,100,324.956015
438.376423,100,325.195018
399.131112,100,325.445016
341.348337,100,325.647025
417.206204,100,325.879021
300.996507,100,326.101017
486.570391,100,326.333019
418.111608,100,326.530015
-611.999322,100,326.745015
413.935211,100,326.972018
375.65119,100,327.199017
397.466977,100,327.416019
429.083619,100,327.612019
398.725478,100,327.843014
523.625473,100,328.069025
381.35528,100,335.883019
377.90024,100,336.167016
389.375153,100,336.414019
380.799796,100,336.629017
372.252867,100,336.847018
461.915702,100,337.068019
478.832306,100,337.266016
408.8653,100,337.46902
368.764992,100,337.698017
247.478478,100,337.909015
462.528271,100,338.093017
363.340015,100,338.298018
386.231557,100,338.507013
286.674468,100,338.727018
449.019583,100,338.948014
485.621431,100,339.147021
190.77615,100,339.375014
405.898135,100,339.565016
388.527133,100,339.761018
392.813593,100,339.966021
450.968047,100,347.636019
437.106533,100,347.83302
449.869707,100,348.03702
407.655931,100,348.258017
414.321007,100,348.556018
424.918444,100,348.847019
-144.186863,100,349.192021
391.717995,100,349.409017
454.620763,100,349.630018
471.373316,100,349.847015
416.16716,100,350.069023
475.372714,100,350.299016
368.564345,100,350.50802
480.006559,100,350.702017
449.021054,100,350.904012
356.093404,100,351.113019
453.376423,100,351.304018
471.544371,100,351.506016
377.148486,100,351.710015
422.004788,100,351.909018
344.546799,100,358.732018
430.972119,100,358.933017
466.626304,100,359.120014
376.03258,100,359.316016
-79.858064,100,359.517024
341.909357,100,359.720017
389.086255,100,359.925017
446.620657,100,360.104013
424.099718,100,360.302019
391.485211,100,360.497017
438.448773,100,360.698019
404.455588,100,360.881015
449.313191,100,361.083018
456.2693,100,361.263014
474.704501,100,361.453015
249.65581,100,361.646016
418.138326,100,361.829017
461.807608,100,362.03602
407.514307,100,362.224015
434.679149,100,362.414017
424.751832,100,362.599016
479.241645,100,370.499017
-51.447356,100,370.71702
311.778688,100,370.964018
370.925123,100,371.207019
-15.759187,100,371.422014
454.41871,100,371.651018
339.027535,100,371.881017
383.680449,100,372.088018
438.639635,100,372.374018
422.057932,100,372.576016
241.058847,100,372.781015
439.039395,100,372.993018
430.987217,100,373.19502
381.490725,100,373.42002
423.8968,100,373.653017
447.936709,100,373.88802
468.351207,100,374.18402
443.558001,100,374.397022
388.468289,100,374.615021
473.275148,100,374.846016
366.344963,100,382.096018
443.613948,100,382.282022
407.597181,100,382.466045
-348.542393,100,382.698015
501.997776,100,382.900024
-1051.743982,100,383.094014
509.069655,100,383.301015
316.948778,100,383.485017
438.76222,100,383.677019
432.102157,100,383.872015
424.959562,100,384.056016
466.280223,100,384.242019
494.575932,100,384.431017
437.839416,100,384.625017
313.540353,100,384.821021
394.315295,100,385.013017
419.654429,100,385.196015
420.070956,100,385.393019
235.259836,100,385.568016
265.870592,100,385.778018
493.935347,100,385.987017
-60.599442,100,392.83002
422.787603,100,393.02902
451.409926,100,393.232013
505.485677,100,393.424015
-1981.378923,100,393.625546
275.809772,100,393.824583
-2181.166436,100,394.025629
453.479504,100,394.217631
421.962335,100,394.452626
480.96023,100,394.653628
445.11565,100,394.847632
540.998246,100,395.043627
421.807248,100,395.235634
-719.117529,100,395.427625
470.84355,100,395.612632
367.304533,100,395.799629
528.454151,100,395.98463
386.930167,100,396.183631
480.072898,100,396.381629
502.856183,100,396.582627
469.525363,100,403.579626
405.933075,100,403.770632
383.499842,100,403.970638
465.354981,100,404.161628
-525.882675,100,404.355626
409.399368,100,404.558632
438.140314,100,404.745628
449.317101,100,404.947625
444.212052,100,405.137625
418.729019,100,405.320629
-244.653896,100,405.526627
477.442094,100,405.725632
410.798161,100,405.920628
414.667228,100,406.119629
505.093374,100,406.307627
395.059901,100,406.503628
82.540011,100,406.694628
450.071092,100,406.887629
471.449107,100,407.086633
326.869175,100,407.284628
475.307984,100,407.478628
373.846428,100,414.185629
372.148956,100,414.398646
467.705169,100,414.601627
436.598213,100,414.793627
-1387.952746,100,414.989631
307.629286,100,415.18563
380.546141,100,415.372629
473.563379,100,415.569628
441.953218,100,415.756626
539.661749,100,415.939633
437.634924,100,416.141628
499.863666,100,416.390629
446.558334,100,416.611627
443.758647,100,416.84563
466.828694,100,417.080632
38.217013,100,417.277625
452.025431,100,417.473631
454.448773,100,417.69763
294.208309,100,417.908629
408.962668,100,418.11363
442.240674,100,425.816651
394.219333,100,426.034629
497.256944,100,426.357627
483.084423,100,426.567653
162.673739,100,426.786628
-212.265348,100,427.015642
-648.147067,100,427.227635
502.647614,100,427.443629
484.102961,100,427.661629
288.204917,100,427.852627
447.500616,100,428.048626
421.103457,100,428.270632
479.647921,100,428.494648
356.624502,100,428.708629
502.735566,100,428.94163
480.819775,100,429.175625
452.942496,100,429.550629
-3291.812733,100,429.748625
378.169401,100,429.970629
207.348003,100,430.17063
450.185228,100,430.387626
412.990794,100,437.229628
500.498512,100,437.429628
431.967713,100,437.633628
506.965744,100,437.819629
417.246019,100,438.017632
509.634094,100,438.222629
490.775217,100,438.431626
487.570527,100,438.621632
518.395765,100,438.792629
-590.359575,100,438.986631
396.455254,100,439.177628
447.252867,100,439.374627
375.740109,100,439.561629
427.002653,100,439.756626
482.97386,100,439.963628
418.460632,100,440.247627
500.892261,100,440.436632
492.830966,100,440.632629
399.180355,100,440.819632
476.387012,100,441.011628
509.472491,100,447.91366
-72.794362,100,448.12763
393.912099,100,448.33463
457.267165,100,448.539629
531.147185,100,448.869627
473.32599,100,449.132626
339.9808,100,449.353631
446.211718,100,449.587626
515.431202,100,449.803625
591.857457,100,450.016628
512.338517,100,450.220628
491.71807,100,450.403631
366.247489,100,450.613627
441.290215,100,450.833627
552.382074,100,451.093628
462.210084,100,451.320626
533.594246,100,451.525626
489.935347,100,451.718628
569.043274,100,451.913632
424.900042,100,452.11363
450.195387,100,452.325635
562.638136,100,460.461628
518.82612,100,460.673624
319.606721,100,460.875624
226.707215,100,461.067628
516.036126,100,461.253628
524.120163,100,461.478629
399.809019,100,461.674626
482.853072,100,461.848629
324.007652,100,462.17663
423.722603,100,462.359626
505.202601,100,462.555627
452.45362,100,462.741634
480.761218,100,462.989648
434.93942,100,463.199626
414.097583,100,463.435629
591.444502,100,463.641627
417.623671,100,463.867649
531.094178,100,464.075628
573.24763,100,464.263628
488.549557,100,464.444631
449.062805,100,471.577628
432.792753,100,471.770629
442.963301,100,471.96063
534.69081,100,472.176645
490.960366,100,472.363629
462.145244,100,472.57263
475.138701,100,472.800636
464.905447,100,473.006627
531.844262,100,473.230632
470.121464,100,473.418625
489.286379,100,473.609627
463.21088,100,473.831628
570.860226,100,474.022629
337.777423,100,474.353626
504.15313,100,474.548626
434.942461,100,474.753629
387.855348,100,474.97963
467.395097,100,475.183626
514.51705,100,475.384632
434.928001,100,475.60863
540.356251,100,475.790631
438.70397,100,483.030628
186.871661,100,483.234627
-2226.02092,100,483.42763
561.112382,100,483.639627
321.638799,100,483.850628
503.491029,100,484.063629
554.599752,100,484.281633
564.338183,100,484.511628
565.19659,100,484.718633
503.986053,100,484.904629
536.575238,100,485.143656
496.3169,100,485.449629
74.700848,100,485.641629
574.68904,100,485.853626
558.451181,100,486.055629
524.119557,100,486.235626
533.728554,100,486.423626
432.299166,100,486.604629
591.335411,100,486.804627
469.889985,100,486.99563
461.291854,100,494.008626
423.674377,100,494.196631
599.080684,100,494.392627
464.445803,100,494.589648
538.471824,100,494.787629
540.221473,100,494.982628
