#{"t_start": 1778422457.4621727, "env_id": "None"}
r,l,t
268.678647,100,16.33802
248.42469,100,16.625895
330.973693,100,16.914542
272.648387,100,17.187744
49.660073,100,17.485285
223.321745,100,17.958635
203.764293,100,18.253762
324.083118,100,18.541882
-3779.346302,100,18.867607
197.153531,100,19.185804
305.942962,100,19.46784
-428.993816,100,19.756038
256.378694,100,20.096305
204.47152,100,20.417518
311.750663,100,20.69717
252.60139,100,20.97389
194.589865,100,21.254085
277.578476,100,21.528973
363.260516,100,21.817478
91.868074,100,22.098819
270.959729,100,32.841999
348.856982,100,33.12006
250.288141,100,33.405266
297.426294,100,33.686335
276.941191,100,33.970289
354.170429,100,34.257891
309.173869,100,34.54335
320.244114,100,34.840326
265.049908,100,35.121804
293.545974,100,35.397157
-1446.283099,100,35.686627
319.731458,100,35.955968
252.959061,100,36.266648
269.348297,100,36.658118
247.128779,100,37.048551
362.904981,100,37.359028
306.608539,100,37.630709
315.045374,100,37.926112
369.645614,100,38.267757
216.129113,100,38.573806
302.443895,100,50.626695
383.427493,100,50.927304
301.718162,100,51.275101
344.740742,100,51.570475
293.647917,100,51.910349
312.02493,100,52.439982
312.16719,100,52.803967
308.569086,100,53.159887
283.950976,100,53.460479
311.915702,100,53.739991
-534.521926,100,54.017197
394.479772,100,54.558224
198.225198,100,54.839101
292.454616,100,55.118801
333.196783,100,55.40691
324.273509,100,55.707868
-774.178538,100,55.99344
337.487452,100,56.300804
279.199358,100,56.603956
377.332229,100,56.976936
315.180684,100,57.419274
114.662051,100,70.08112
259.476259,100,70.47621
381.857316,100,70.890248
398.421148,100,71.347049
293.562073,100,71.707701
261.012873,100,71.990211
341.638997,100,72.271294
250.299394,100,72.590152
357.959395,100,72.893467
358.532542,100,73.227572
329.01601,100,73.590206
366.427159,100,73.935544
322.558365,100,74.218153
310.152893,100,74.501426
350.587624,100,74.783084
358.722402,100,75.091396
371.260881,100,75.518468
327.557029,100,75.864885
328.620793,100,76.154037
198.085817,100,76.490035
109.880601,100,89.452103
356.798794,100,89.796632
335.590062,100,90.46173
338.640434,100,90.788253
172.54199,100,91.12201
356.867475,100,91.440604
329.925123,100,91.726681
276.601587,100,92.041286
172.02828,100,92.304592
330.453513,100,92.531234
350.657201,100,92.795287
313.915368,100,93.002898
279.780256,100,93.209342
316.382267,100,93.411941
366.463567,100,93.634944
377.139263,100,93.848512
295.464705,100,94.056029
406.159185,100,94.290314
415.377121,100,94.73069
357.598815,100,95.036839
-1761.025556,100,95.353937
279.786964,100,104.022117
434.047374,100,104.208114
-3804.065365,100,104.395112
111.922196,100,104.582113
344.53625,100,104.812136
316.605964,100,105.011116
311.901738,100,105.189114
-340.942843,100,105.389114
340.125101,100,105.734116
333.357916,100,105.938112
447.136459,100,106.143117
351.657869,100,106.353114
