#{"t_start": 1778975725.507264, "env_id": "None"}
r,l,t
-30.355956,100,15.217742
15.963425,100,15.468054
12.906791,100,15.723275
-106.831159,100,16.005693
-3400.529325,100,16.257136
-21.790283,100,16.500252
-2.928244,100,16.722026
-50.457793,100,16.945493
19.08645,100,17.141684
-31.241616,100,17.359587
7.232363,100,17.562855
-601.99172,100,17.778976
-4.394007,100,18.021327
-25.119664,100,18.26743
-0.925599,100,18.466436
-51.157501,100,18.6914
38.366778,100,18.921469
-30.967475,100,19.122349
-40.552432,100,19.362801
-9.979442,100,19.598105
-4081.637821,100,27.648888
42.723946,100,27.903772
30.606767,100,28.163325
-12.042606,100,28.416142
-8.725273,100,28.684442
37.287661,100,28.925422
20.959249,100,29.158944
-37.907398,100,29.40857
17.121186,100,29.634576
-0.407391,100,29.828289
-727.089695,100,30.032996
-4.196146,100,30.227876
-9.968808,100,30.432872
27.047249,100,30.627861
-5.001317,100,30.82441
-6.6659,100,31.021776
17.592926,100,31.215503
-1252.741179,100,31.402005
-20.64381,100,31.604125
9.633477,100,31.783846
-280.707537,100,39.770008
34.604464,100,40.03161
26.71814,100,40.322267
46.518855,100,40.559579
-3446.913781,100,40.793826
-47.133148,100,41.016998
-578.366867,100,41.234568
40.932897,100,41.446763
-90.518266,100,41.684366
38.129207,100,41.898428
19.056904,100,42.125575
15.94858,100,42.336502
43.584604,100,42.562758
8.146592,100,42.772572
18.591953,100,42.986503
-1.40439,100,43.20964
2.248189,100,43.425271
-3.099565,100,43.688962
46.674308,100,43.921779
29.819142,100,44.20351
-0.842502,100,44.46162
-2.192171,100,52.473885
11.320485,100,52.693927
32.428426,100,52.897349
0.787703,100,53.108007
10.819784,100,53.361272
32.052871,100,53.576999
33.343708,100,53.778089
30.030249,100,53.992563
-27.559823,100,54.215508
34.793523,100,54.426844
-312.909468,100,54.639285
39.95825,100,54.849722
-359.776673,100,55.044381
15.59259,100,55.236389
-896.64198,100,55.463252
30.132558,100,55.690917
44.724299,100,55.893756
30.075901,100,56.133962
33.402177,100,56.369181
-2.403457,100,56.567465
-23.135467,100,64.102277
-3808.51829,100,64.334009
77.147209,100,64.562734
15.760537,100,64.749295
16.768096,100,64.953859
11.98788,100,65.165287
49.690559,100,65.362731
-19.019608,100,65.562901
22.98482,100,65.770547
26.29668,100,65.975386
72.404747,100,66.179157
27.96819,100,66.409724
26.839206,100,66.604364
-239.095626,100,66.817827
53.884879,100,67.02782
50.558552,100,67.230129
-808.651603,100,67.447414
-9363.33385,100,67.685494
1.596162,100,67.909191
27.099165,100,68.114441
32.558275,100,68.323093
-3276.723762,100,75.961043
44.029703,100,76.141479
43.40967,100,76.313925
77.460839,100,76.504348
35.234604,100,76.702698
14.532705,100,76.901198
53.82452,100,77.08529
32.180448,100,77.267952
35.043894,100,77.441983
28.413451,100,77.621414
38.66518,100,77.798862
-4416.456178,100,77.975931
51.809153,100,78.162347
34.738308,100,78.358803
27.007013,100,78.53896
39.19283,100,78.715351
36.695972,100,78.902451
-8355.134983,100,79.085629
0.980956,100,79.25685
41.557017,100,79.430763
35.297107,100,86.941454
66.363969,100,87.144489
75.854219,100,87.325279
-260.263386,100,87.603033
50.680742,100,87.822515
26.082193,100,88.042242
57.746115,100,88.321824
-1.169739,100,88.560288
48.800548,100,88.78781
55.140653,100,89.013518
35.482753,100,89.241599
-24.071991,100,89.461838
