#{"t_start": 1778972394.303341, "env_id": "None"}
r,l,t
27.167065,100,15.447338
-24.165005,100,15.629334
-10.922839,100,15.820335
11.42412,100,16.026335
-92.886302,100,16.227339
25.443458,100,16.524337
4.146708,100,16.723338
13.078104,100,17.015338
-21.678052,100,17.242342
3.232963,100,17.529336
25.396423,100,17.768338
20.476853,100,17.997337
-1.343742,100,18.205338
-15.608792,100,18.408342
-4.471658,100,18.609337
-6.452166,100,18.808336
-20.431114,100,18.995336
-2.110278,100,19.181335
9.912609,100,19.388339
-19.231025,100,19.581337
1.542024,100,26.177337
12.326425,100,26.379338
7.757829,100,26.568336
22.71969,100,26.76234
-24.988346,100,26.942347
1.548509,100,27.122335
17.749177,100,27.308344
21.405161,100,27.634367
6.109376,100,27.853336
43.381105,100,28.074347
-28.831664,100,28.296337
-11.486071,100,28.472339
14.901988,100,28.671335
-6.394067,100,28.876336
26.69076,100,29.123337
52.416787,100,29.325335
10.563442,100,29.520338
31.355971,100,29.730335
6.63503,100,29.907336
49.691466,100,30.094336
29.665488,100,36.525341
-3058.056848,100,36.705336
23.421021,100,36.871336
-11.970245,100,37.039335
-21.896552,100,37.203335
49.470163,100,37.372334
-0.569667,100,37.528334
15.043971,100,37.692336
-3794.159046,100,37.857334
10.170196,100,38.029336
22.758839,100,38.205341
-6.718919,100,38.385341
-18.672639,100,38.573337
36.895409,100,38.77634
6.681324,100,38.964334
7.546473,100,39.157336
19.219675,100,39.356336
8.370081,100,39.544342
43.450257,100,39.736335
40.817265,100,39.937333
-211.61001,100,40.111342
8.938376,100,47.088336
11.991417,100,47.42837
26.563223,100,47.661337
-25.473279,100,47.999337
2.241437,100,48.225337
26.277568,100,48.445338
5.924718,100,48.674336
26.818456,100,48.876337
37.858534,100,49.082336
-1.1639,100,49.278337
8.303135,100,49.477338
32.958826,100,49.667335
10.894351,100,49.864336
-1276.487935,100,50.069337
-25.399142,100,50.274336
40.819871,100,50.476339
63.415778,100,50.675339
-28.06957,100,50.883336
-12.315617,100,51.086341
44.836299,100,51.292336
37.450844,100,58.237948
36.294935,100,58.413947
-6.040692,100,58.586948
45.534097,100,58.778948
71.331959,100,58.97495
67.733914,100,59.163947
48.222629,100,59.35895
85.157761,100,59.563961
-689.811186,100,59.838954
21.165488,100,60.146949
55.004988,100,60.369959
10.759672,100,60.609947
87.85309,100,60.877948
49.482486,100,61.190949
55.947486,100,61.484949
33.134232,100,61.713947
-3.104612,100,61.940945
21.35619,100,62.221949
41.14218,100,62.458949
9.744258,100,62.662947
60.756685,100,62.979971
65.252693,100,71.077948
66.752693,100,71.266947
29.742064,100,71.441951
42.712043,100,71.628947
39.351816,100,71.815952
60.803635,100,72.000948
9.607632,100,72.191949
94.233478,100,72.388948
-1476.386156,100,72.568947
-289.295382,100,72.763945
27.481422,100,72.964949
90.052616,100,73.161948
88.944846,100,73.347949
64.924459,100,73.527946
90.022316,100,73.720949
47.533619,100,73.908947
92.423985,100,74.103951
63.240711,100,74.295947
92.237375,100,74.51395
51.615778,100,74.752949
32.913684,100,82.819775
50.975719,100,83.022307
109.143506,100,83.229308
103.647421,100,83.437641
54.545078,100,83.64471
43.845075,100,83.857063
118.797515,100,84.057184
100.30418,100,84.267696
67.21488,100,84.474972
50.329716,100,84.678556
-569.590618,100,84.871516
65.749302,100,85.082271
78.809082,100,85.28762
-125.262704,100,85.490747
-504.938369,100,85.701483
27.838228,100,85.897944
56.798244,100,86.115764
-2.792765,100,86.352109
39.654877,100,86.553025
119.680292,100,86.740322
66.380033,100,86.95156
69.31028,100,94.2046
78.692587,100,94.411799
75.284316,100,94.61226
41.960032,100,94.803807
75.608795,100,94.999496
78.843909,100,95.19341
108.266921,100,95.393924
69.176139,100,95.602801
100.637098,100,95.801366
65.438107,100,96.00289
60.007507,100,96.212448
110.21396,100,96.419238
103.373736,100,96.625097
75.978895,100,96.829631
74.804999,100,97.054183
110.883735,100,97.277889
116.484981,100,97.474123
-302.287654,100,97.667957
-439.003734,100,97.867985
38.702629,100,98.075243
61.022708,100,105.493303
118.885002,100,105.724717
110.888737,100,105.947952
60.857452,100,106.161831
103.144846,100,106.370907
76.566224,100,106.585987
69.587621,100,106.791818
96.113871,100,106.991836
90.296038,100,107.182768
102.26408,100,107.425538
75.214166,100,107.63234
106.358526,100,107.849219
70.526585,100,108.064368
70.363938,100,108.260899
112.637794,100,108.461994
-1168.836289,100,108.665849
88.109157,100,108.866391
93.295239,100,109.053376
84.96551,100,109.25617
135.294456,100,109.46454
86.785917,100,109.662223
63.60598,100,116.9702
121.242501,100,117.173751
150.31983,100,117.386021
-6.093416,100,117.585903
46.877885,100,117.815026
-221.713931,100,118.02926
73.223803,100,118.237659
65.283283,100,118.436385
70.451956,100,118.637782
100.118578,100,118.834429
88.727026,100,119.044365
56.320831,100,119.243646
23.31882,100,119.460154
15.853067,100,119.660489
42.048247,100,119.859621
84.479144,100,120.060927
49.83607,100,120.264114
-8248.003593,100,120.459425
135.895752,100,120.660388
86.808121,100,120.858103
76.945316,100,128.025725
