#{"t_start": 1779049476.538235, "env_id": "None"}
r,l,t
160.179368,100,12.051808
-2548.904936,100,12.233804
137.799637,100,12.416806
136.934944,100,12.599809
144.494129,100,12.773807
152.264957,100,12.975803
163.742195,100,13.163802
153.624877,100,13.358806
148.168863,100,13.537803
116.346075,100,13.710803
129.456762,100,13.886799
-6051.978956,100,14.065803
159.864726,100,14.233807
115.427065,100,14.411806
134.967386,100,14.657804
91.338677,100,14.858805
131.31734,100,15.044803
114.238583,100,15.229802
172.811904,100,15.409802
71.614009,100,15.586805
131.414473,100,21.610807
-267.387409,100,21.782806
167.095365,100,21.963805
140.86074,100,22.136804
166.186497,100,22.311811
149.35364,100,22.505805
172.322735,100,22.677802
-3172.278316,100,22.861807
174.092569,100,23.041864
150.355375,100,23.22681
144.855171,100,23.421803
148.414983,100,23.596805
135.904867,100,23.775808
136.716548,100,23.968801
107.985672,100,24.150808
142.904809,100,24.342804
134.608182,100,24.523801
150.951021,100,24.697801
149.44611,100,24.887806
185.527152,100,25.160806
-1281.68838,100,31.6238
149.9622,100,31.796803
185.399896,100,31.980804
185.759758,100,32.157807
161.717443,100,32.361804
167.73407,100,32.617802
159.257229,100,32.795802
175.519989,100,32.983804
162.081942,100,33.181804
174.366143,100,33.367805
177.753786,100,33.562801
83.835937,100,33.7588
117.509193,100,33.929808
136.248092,100,34.111807
127.48948,100,34.293808
-1268.5322,100,34.460802
147.252573,100,34.645803
138.065682,100,34.813804
163.138421,100,34.990814
180.007448,100,35.182804
167.827551,100,35.398804
31.883579,100,41.592803
167.963158,100,41.790808
179.351032,100,41.999806
100.908469,100,42.233805
205.514506,100,42.430805
168.057158,100,42.633807
194.08032,100,42.822808
190.276675,100,43.004804
151.019691,100,43.184803
182.474322,100,43.343806
178.65248,100,43.520807
198.544382,100,43.701804
-162.024059,100,43.871809
184.629666,100,44.049809
-35.824597,100,44.223803
173.40872,100,44.402807
157.922818,100,44.580805
154.734747,100,44.774804
176.942908,100,44.9658
191.591042,100,45.160808
131.706174,100,51.228808
141.848702,100,51.409804
-3346.146439,100,51.575803
198.87258,100,51.754802
172.79892,100,51.922801
178.784041,100,52.093809
167.586935,100,52.259803
176.669202,100,52.431812
154.875128,100,52.616805
175.499138,100,52.7898
201.618947,100,52.960802
144.644482,100,53.123804
182.163275,100,53.3198
-2515.702785,100,53.497807
2.08885,100,53.678803
175.64296,100,53.857802
-2480.290428,100,54.05281
129.22129,100,54.231809
148.811354,100,54.413802
162.777582,100,54.590808
155.634712,100,54.779807
127.860377,100,60.919806
-208.988053,100,61.094807
-6052.327507,100,61.275807
192.515476,100,61.452802
158.47551,100,61.634803
174.103,100,61.819809
164.604149,100,61.990807
166.161703,100,62.165806
138.335837,100,62.342808
157.19988,100,62.520802
180.472199,100,62.704808
173.920771,100,62.889804
162.543454,100,63.079804
172.06365,100,63.275802
213.125268,100,63.459807
194.385343,100,63.640801
161.043348,100,63.813805
158.882632,100,63.983806
142.764915,100,64.154809
148.032774,100,64.332804
132.822257,100,70.627804
83.0825,100,70.811803
170.207341,100,70.994813
174.060161,100,71.164807
194.787418,100,71.366803
199.735668,100,71.540809
199.328881,100,71.722804
189.563726,100,71.910807
188.684719,100,72.095802
214.415391,100,72.289804
185.235525,100,72.473809
169.905967,100,72.661801
158.507805,100,72.855805
174.949708,100,73.030803
-583.079079,100,73.210818
168.844694,100,73.389803
187.070776,100,73.561804
197.107279,100,73.745803
-2.932821,100,73.915801
189.031853,100,74.095807
193.86681,100,74.269811
172.604541,100,80.563816
195.464601,100,80.751802
169.256191,100,80.935805
182.470024,100,81.114805
169.17385,100,81.297803
189.764344,100,81.473804
168.066706,100,81.64681
154.227716,100,81.816808
139.905613,100,81.989803
159.051114,100,82.189805
168.35539,100,82.369806
178.321194,100,82.557808
180.361402,100,82.725803
176.577246,100,82.902801
172.214791,100,83.083802
192.773265,100,83.269807
161.779232,100,83.447802
198.154734,100,83.628803
113.66849,100,83.804808
173.945217,100,84.002804
184.313339,100,90.288807
-2033.855892,100,90.470807
214.250749,100,90.656804
171.285224,100,90.836802
162.311102,100,91.011803
-2645.499243,100,91.193803
199.137599,100,91.380801
160.80043,100,91.553803
201.089405,100,91.744802
-223.256822,100,91.928803
204.238497,100,92.108808
161.01467,100,92.342809
171.428759,100,92.544807
190.260642,100,92.765828
167.799947,100,92.982813
106.745031,100,93.195811
-4284.117948,100,93.410801
143.228315,100,93.617805
216.604035,100,93.805808
96.399866,100,93.990808
174.205599,100,94.195805
183.743191,100,100.2958
-892.288014,100,100.468801
181.821342,100,100.653802
-1555.311602,100,100.837801
176.195659,100,101.009805
-2677.180153,100,101.196804
188.840446,100,101.395804
185.228203,100,101.583803
-3305.681196,100,101.766802
187.662633,100,101.943803
185.975375,100,102.128802
198.815923,100,102.335812
173.01685,100,102.533808
187.405187,100,102.706803
156.518881,100,102.880808
188.724096,100,103.059807
140.90256,100,103.2398
178.467745,100,103.428817
-162.285439,100,103.601833
157.976204,100,103.784807
174.308576,100,110.101804
185.840545,100,110.285804
198.54312,100,110.460811
152.508375,100,110.643807
196.047205,100,110.823807
174.415407,100,111.009806
185.467615,100,111.250803
192.39626,100,111.438803
165.844164,100,111.622808
194.192026,100,111.805802
190.392024,100,112.002807
72.804525,100,112.175803
163.210422,100,112.354804
151.991104,100,112.540803
-11856.344453,100,112.724803
-41.060284,100,112.896803
200.609966,100,113.077803
196.565706,100,113.271808
190.279936,100,113.457804
194.902175,100,113.643803
184.701569,100,113.820811
47.018212,100,119.941799
198.657983,100,120.122804
188.017529,100,120.301808
164.691435,100,120.475807
122.07767,100,120.654814
143.303203,100,120.835808
189.961679,100,121.010808
190.296957,100,121.184803
-3547.604425,100,121.360804
183.59199,100,121.5408
181.146687,100,121.726801
246.415455,100,121.901801
177.871815,100,122.084804
202.737278,100,122.332807
184.72454,100,122.512804
202.14316,100,122.682808
222.088686,100,122.864805
178.212815,100,123.046804
225.513654,100,123.233808
166.24305,100,123.425802
174.754035,100,129.915802
178.442056,100,130.0978
193.71907,100,130.282801
205.880301,100,130.456803
199.169755,100,130.636806
198.10228,100,130.814807
115.232327,100,131.000802
195.327676,100,131.174808
206.839407,100,131.38081
169.264592,100,131.552808
-3531.728729,100,131.730801
153.130885,100,131.904803
206.758434,100,132.087807
163.782563,100,132.276808
147.852146,100,132.460804
186.486211,100,132.648807
-1302.03546,100,132.823816
230.017324,100,133.050804
194.387045,100,133.239808
181.541627,100,133.417816
219.768902,100,133.597802
177.237676,100,139.842803
172.03126,100,140.027801
-224.828118,100,140.198804
