#{"t_start": 1779046302.9268022, "env_id": "None"}
r,l,t
-37.268984,100,8.471267
8.156592,100,8.655267
16.439778,100,8.858286
3.078005,100,9.072271
-7.860441,100,9.242264
-9.303198,100,9.423265
-11.588416,100,9.595263
-3561.006569,100,9.763266
-1.861852,100,9.935263
2.440702,100,10.114268
-35.171971,100,10.286287
13.761911,100,10.462267
-16.00598,100,10.638268
-1086.428838,100,10.814276
18.816113,100,10.994265
-31.473784,100,11.171274
8.151996,100,11.34827
-12.671945,100,11.529268
-175.548999,100,11.694271
-3585.907458,100,11.874267
25.918399,100,18.088271
-45.134677,100,18.260271
-1.909794,100,18.447266
22.192914,100,18.625273
8.192619,100,18.802267
4.660164,100,19.022267
-14.927434,100,19.234267
23.231989,100,19.420268
-19.869163,100,19.590267
-62.35016,100,19.76127
8.671041,100,19.936266
-59.476912,100,20.11327
-905.572956,100,20.294271
28.763996,100,20.473268
16.967122,100,20.643265
13.399861,100,20.818266
-475.748706,100,20.997272
35.999165,100,21.169266
8.995887,100,21.344266
-15.006667,100,21.515289
9.705437,100,27.751266
16.863701,100,27.919266
22.80481,100,28.09527
-9.207727,100,28.260266
23.525433,100,28.440266
9.196324,100,28.624269
-8.937021,100,28.807267
15.417305,100,28.986268
17.178241,100,29.167271
37.887643,100,29.345265
17.169047,100,29.520267
35.469163,100,29.690265
-856.207094,100,29.868263
18.189893,100,30.041267
6.395549,100,30.211265
24.359566,100,30.389271
29.348758,100,30.56127
-231.11455,100,30.735265
37.804609,100,30.917264
10.134155,100,31.113267
34.976357,100,31.310269
-51.058073,100,37.194267
-2.051204,100,37.432268
25.638717,100,37.618266
53.255198,100,37.794267
39.405541,100,37.974266
29.404,100,38.157268
-2198.966342,100,38.336269
25.803191,100,38.534265
22.476992,100,38.710273
28.550089,100,38.892273
-1284.554196,100,39.085269
36.723031,100,39.260278
47.358115,100,39.432274
44.345212,100,39.59927
22.011723,100,39.78727
-153.020899,100,39.967263
38.668465,100,40.141267
33.444232,100,40.324268
32.31624,100,40.496267
15.090126,100,40.667267
-529.614132,100,46.723268
61.084325,100,46.908267
76.965321,100,47.085267
20.616376,100,47.268266
-11.379446,100,47.457271
-1524.19281,100,47.654267
55.657154,100,47.842269
48.055152,100,48.022271
67.993721,100,48.201265
24.394676,100,48.37527
99.157284,100,48.55227
46.908963,100,48.731268
45.119056,100,48.967272
29.141367,100,49.142265
51.350585,100,49.316272
-338.040929,100,49.490264
64.010173,100,49.667271
59.689756,100,49.847272
23.522585,100,50.024278
36.423016,100,50.192268
25.122192,100,50.373265
36.312424,100,56.360267
73.894636,100,56.547289
60.600518,100,56.746278
37.341913,100,56.935267
86.239592,100,57.12227
31.179037,100,57.298267
62.290673,100,57.475268
59.897459,100,57.653266
68.76509,100,57.828268
-2498.826098,100,58.012272
20.537036,100,58.181265
21.616454,100,58.363265
78.205006,100,58.542268
50.759963,100,58.712265
66.653894,100,58.899267
40.610794,100,59.064265
42.643797,100,59.232267
41.386669,100,59.423271
47.305502,100,59.598272
22.686758,100,59.776269
46.483686,100,65.92627
38.600722,100,66.114271
77.620467,100,66.310267
-101.478362,100,66.471271
114.848124,100,66.650271
-2594.91328,100,66.828266
85.739719,100,67.002266
32.402483,100,67.16527
39.620622,100,67.347265
48.613228,100,67.520264
110.454539,100,67.70927
44.385347,100,67.895265
75.314129,100,68.070268
84.666069,100,68.245266
89.936164,100,68.444268
38.454099,100,68.622269
63.377787,100,68.820267
62.268204,100,68.998267
-171.622959,100,69.170264
54.330628,100,69.34627
78.436622,100,69.532271
-2822.679696,100,75.737265
109.892274,100,75.930265
-33.996024,100,76.104265
50.466005,100,76.273266
92.734334,100,76.452268
43.832686,100,76.630273
74.196924,100,76.821268
61.140236,100,76.993271
38.320371,100,77.163265
86.375786,100,77.345265
63.256008,100,77.522364
96.134231,100,77.715271
60.11977,100,77.91327
50.675234,100,78.090269
60.289921,100,78.250272
72.833734,100,78.429268
74.658713,100,78.600271
25.347088,100,78.788271
80.04601,100,79.011265
115.721838,100,79.179272
94.988376,100,85.175267
84.155207,100,85.359267
58.343074,100,85.533273
89.365688,100,85.691271
-2394.073304,100,85.871277
150.924425,100,86.052266
-868.765683,100,86.244267
49.940791,100,86.431265
111.010308,100,86.60927
28.423901,100,86.807275
53.159267,100,86.999268
69.975688,100,87.175266
80.785991,100,87.348265
76.906204,100,87.530274
77.207514,100,87.691264
83.666302,100,87.870264
92.262749,100,88.052267
62.337269,100,88.238271
77.238344,100,88.41027
87.829748,100,88.593268
93.656199,100,88.762266
-92.431937,100,94.817264
-1524.062047,100,95.001271
89.251947,100,95.166263
90.099145,100,95.34527
58.194436,100,95.516273
72.21204,100,95.700278
86.204348,100,95.907264
87.341944,100,96.087273
77.925313,100,96.264271
33.716372,100,96.44927
108.217769,100,96.610267
91.222136,100,96.784276
72.137174,100,96.958272
51.550728,100,97.136267
91.598366,100,97.318263
-422.388381,100,97.494267
90.46715,100,97.670267
-175.077594,100,97.847266
62.449816,100,98.031265
70.369937,100,98.217269
98.31693,100,104.332268
88.527737,100,104.511267
-9534.019496,100,104.687266
83.557839,100,104.861268
88.417149,100,105.043274
98.032631,100,105.217267
-204.317728,100,105.394268
70.938851,100,105.567267
72.863729,100,105.740278
-24.495547,100,105.920264
72.861098,100,106.096273
134.690785,100,106.263267
47.682199,100,106.444266
119.518268,100,106.617271
-227.291699,100,106.797266
85.995182,100,106.970264
73.418559,100,107.144272
54.495449,100,107.325267
128.448821,100,107.508271
69.726804,100,107.702266
107.448752,100,107.895272
30.992926,100,114.005271
78.313605,100,114.18227
95.281168,100,114.349268
106.409896,100,114.523265
47.074348,100,114.696266
105.260106,100,114.876267
25.152067,100,115.050265
38.840925,100,115.221267
97.660889,100,115.39127
84.597218,100,115.569271
71.086998,100,115.755272
-43.943815,100,115.938265
89.237812,100,116.112263
73.155515,100,116.284263
91.793242,100,116.469267
79.030082,100,116.662267
-3435.726834,100,116.857267
89.872919,100,117.034266
57.878693,100,117.221267
130.699072,100,117.404265
121.49197,100,123.48227
123.765193,100,123.660263
-2962.726502,100,123.894267
80.429881,100,124.071264
86.065327,100,124.247271
85.248853,100,124.427267
104.28198,100,124.595266
76.406837,100,124.76927
104.361413,100,124.94027
76.568167,100,125.122265
109.854921,100,125.299266
67.078024,100,125.470267
114.488737,100,125.658266
76.162975,100,125.845268
89.097714,100,126.024271
96.399923,100,126.215273
115.530997,100,126.397265
-573.039149,100,126.572268
138.275803,100,126.745267
97.550013,100,126.91327
-3622.493607,100,127.086264
113.946026,100,133.09727
128.535225,100,133.287267
96.991081,100,133.460271
112.074888,100,133.637266
141.727839,100,133.811266
130.545761,100,133.992273
71.706606,100,134.169263
78.694417,100,134.409267
122.481985,100,134.576269
105.46672,100,134.751267
119.404215,100,134.932265
90.457266,100,135.114271
-561.031004,100,135.276265
106.958088,100,135.453269
82.53658,100,135.633266
114.177027,100,135.812268
87.409233,100,135.987266
105.054116,100,136.166271
104.74868,100,136.341264
129.708326,100,136.517267
74.44582,100,142.74827
57.482421,100,142.925267
46.978778,100,143.100266
60.51763,100,143.269266
-1271.023163,100,143.454265
-503.954795,100,143.632268
-788.248824,100,143.800267
115.320001,100,143.978271
98.280109,100,144.155268
68.177746,100,144.327271
75.952157,100,144.504273
-727.480023,100,144.680266
46.767792,100,144.862266
92.116074,100,145.040267
82.467837,100,145.216271
128.230283,100,145.380271
-1872.447531,100,145.561265
118.725029,100,145.744268
88.258494,100,145.98227
-2645.996,100,146.149272
-4780.640625,100,146.340273
54.982584,100,152.525269
114.7632,100,152.706266
119.714308,100,152.903277
76.698888,100,153.073265
93.840376,100,153.252267
49.046137,100,153.421268
74.068903,100,153.595266
155.671798,100,153.771271
-579.761701,100,153.945264
102.794897,100,154.117265
110.976445,100,154.294271
83.243145,100,154.479266
37.05654,100,154.652267
99.064098,100,154.835266
-484.040794,100,155.007298
46.35134,100,155.17827
31.189677,100,155.365272
86.399655,100,155.552264
93.811544,100,155.740267
103.768829,100,155.936268
-43.851328,100,161.864266
-124.7604,100,162.043273
94.4277,100,162.219271
78.44256,100,162.399265
93.437417,100,162.567266
80.466227,100,162.754265
30.448062,100,162.945268
85.462558,100,163.130267
89.646972,100,163.327268
-219.940031,100,163.508272
123.343091,100,163.675271
-576.694859,100,163.85727
81.841385,100,164.027266
78.270913,100,164.203264
55.812536,100,164.386267
61.212317,100,164.56127
111.655007,100,164.743268
100.040196,100,164.929271
135.807385,100,165.098268
91.88107,100,165.284266
-91.77929,100,165.463271
61.973057,100,171.452267
69.25289,100,171.631267
78.296047,100,171.825264
131.398152,100,171.995271
97.232267,100,172.188265
28.33127,100,172.387264
147.244747,100,172.568267
138.19257,100,172.74127
83.217662,100,172.917268
127.53999,100,173.086266
90.886187,100,173.258266
88.579672,100,173.428267
-1353.648603,100,173.606267
117.065035,100,173.781267
96.98661,100,173.957271
102.882436,100,174.138271
99.85798,100,174.306276
111.985086,100,174.484266
133.157013,100,174.645266
81.022834,100,174.826268
109.642925,100,180.834267
88.781322,100,181.016265
127.699594,100,181.19827
156.245451,100,181.403272
27.460814,100,181.597272
84.773039,100,181.768269
139.699098,100,181.947266
-8526.249308,100,182.120271
73.808904,100,182.29227
106.168788,100,182.470271
93.675833,100,182.645266
80.119649,100,182.817267
126.004386,100,182.995267
97.104121,100,183.166264
90.098629,100,183.340267
-2210.143546,100,183.515267
99.365455,100,183.685271
122.573587,100,183.863271
77.571541,100,184.041269
106.927938,100,184.214274
115.895458,100,184.405268
124.897952,100,190.609267
86.015237,100,190.786263
111.597802,100,190.967272
98.131155,100,191.141271
108.764098,100,191.320266
99.451362,100,191.499266
-2640.907778,100,191.666266
120.90857,100,191.842271
-607.828068,100,192.024263
103.715737,100,192.19827
80.937137,100,192.380266
130.950445,100,192.543267
