"type","duration","time"
"NDN","37","7:48:13 PM"
"NDN","58","7:48:14 PM"
"NDN","41","7:48:14 PM"
"NDN","53","7:48:15 PM"
"NDN","55","7:48:15 PM"
"NDN","46","7:48:16 PM"
"NDN","36","7:48:17 PM"
"NDN","41","7:48:17 PM"
"NDN","38","7:48:18 PM"
"NDN","45","7:48:19 PM"
"AI","344","7:48:29 PM"
"AI","339","7:48:39 PM"
"AI","377","7:48:39 PM"
"AI","334","7:48:49 PM"
"AI","370","7:48:49 PM"
"NDN","36","7:48:50 PM"
"NDN","43","7:48:51 PM"
"NDN","41","7:48:51 PM"
"NDN","37","7:48:52 PM"
"NDN","65","7:48:52 PM"
"NDN","45","7:48:52 PM"
"NDN","59","7:48:53 PM"
"NDN","41","7:48:53 PM"
"NDN","35","7:48:54 PM"
"AI","64","7:48:54 PM"
"NDN","39","7:48:55 PM"
"NDN","36","7:48:55 PM"
"NDN","39","7:48:56 PM"
"NDN","39","7:48:56 PM"
"NDN","37","7:48:57 PM"
"NDN","42","7:48:57 PM"
"NDN","38","7:48:58 PM"
"NDN","39","7:48:58 PM"
"NDN","37","7:48:59 PM"
"NDN","89","7:48:59 PM"
"NDN","42","7:49:00 PM"
"NDN","40","7:49:00 PM"
"NDN","48","7:49:00 PM"
"NDN","38","7:49:01 PM"
"NDN","23","7:49:01 PM"
"NDN","36","7:49:02 PM"
"NDN","40","7:49:02 PM"
"NDN","39","7:49:03 PM"
"NDN","39","7:49:03 PM"
"NDN","46","7:49:04 PM"
"NDN","72","7:49:04 PM"
"NDN","45","7:49:05 PM"
"NDN","55","7:49:06 PM"
"NDN","41","7:49:06 PM"
"NDN","46","7:49:07 PM"
"NDN","49","7:49:07 PM"
"NDN","36","7:49:08 PM"
"NDN","38","7:49:08 PM"
"NDN","37","7:49:09 PM"
"NDN","46","7:49:10 PM"
"NDN","37","7:49:11 PM"
"NDN","37","7:49:11 PM"
"NDN","36","7:49:11 PM"
"NDN","43","7:49:12 PM"
"NDN","39","7:49:12 PM"
"NDN","47","7:49:12 PM"
"NDN","40","7:49:13 PM"
"NDN","36","7:49:13 PM"
"NDN","50","7:49:13 PM"
"NDN","47","7:49:14 PM"
"AI","80","7:49:19 PM"
"AI","346","7:49:29 PM"
"AI","395","7:49:29 PM"
"AI","82","7:49:39 PM"
"AI","46","7:49:48 PM"
"AI","73","7:49:48 PM"
"NDN","56","7:49:53 PM"
"NDN","39","7:49:53 PM"
